Designator,Mid X,Mid Y,Rotation,Layer
BT1,101.21,-99.615,90.0,top
BT2,101.205,-91.215,90.0,top
C0,122.0,-96.465,90.0,bottom
C1,120.3,-96.045,0.0,bottom
C10,114.57,-87.695,270.0,bottom
C11,114.54,-85.245,90.0,bottom
C12,122.08,-85.265,90.0,bottom
C13,122.07,-87.665,270.0,bottom
C14,115.49,-94.47,180.0,bottom
C15,115.49,-93.64,180.0,bottom
C16,114.56,-95.62,270.0,bottom
C17,114.55,-91.66,270.0,bottom
C18,113.10675,-90.68,90.0,bottom
C19,113.12,-89.28,90.0,bottom
C2,122.0,-94.865,90.0,bottom
C20,113.411611,-107.300967,180.0,top
C21,139.13,-93.81,180.0,bottom
C22,137.72,-94.51,0.0,bottom
C23,138.78,-94.86,270.0,bottom
C24,138.2,-97.51,225.0,bottom
C25,138.39,-96.72,225.0,bottom
C26,136.393726,-97.213952,315.0,bottom
C27,136.89,-97.71,315.0,bottom
C28,136.18,-99.39,0.0,bottom
C29,140.37,-100.23,270.0,bottom
C3,120.7,-94.055,90.0,bottom
C30,133.673726,-98.513726,45.0,bottom
C31,137.71,-93.8,0.0,bottom
C32,137.4,-95.73,45.0,bottom
C33,137.01,-96.34,45.0,bottom
C34,113.411611,-105.840967,180.0,top
C35,114.191611,-104.760967,180.0,top
C36,119.063613,-107.837924,0.0,top
C37,118.294369,-108.921183,0.0,top
C38,107.74,-80.455,180.0,top
C39,107.737677,-81.915005,180.0,top
C4,122.0,-92.485,90.0,bottom
C40,108.523598,-79.375556,180.0,top
C41,113.443191,-82.639316,0.0,top
C42,112.661805,-83.720319,0.0,top
C43,137.725,-84.75,180.0,top
C44,158.803826,-117.214435,180.0,top
C45,137.725,-83.29,180.0,top
C46,158.800002,-115.756893,180.0,top
C47,138.501959,-82.209597,180.0,top
C48,159.587053,-114.674999,180.0,top
C49,143.386959,-85.587851,0.0,top
C5,120.71,-91.05,135.0,bottom
C50,164.471106,-117.865243,0.0,top
C51,142.604108,-86.662026,0.0,top
C52,163.693931,-118.946996,0.0,top
C53,159.13,-98.8,0.0,top
C54,159.05,-94.88,0.0,top
C55,167.24,-78.65,270.0,top
C56,129.56,-113.49,0.0,top
C57,132.8,-113.5,0.0,top
C58,144.52,-116.36,90.0,top
C59,135.22,-102.4,180.0,bottom
C6,121.053726,-89.266274,135.0,bottom
C60,135.18,-106.88,90.0,top
C61,140.19,-105.89,270.0,top
C62,106.01,-104.69,180.0,top
C63,103.435,-104.68,0.0,top
C64,101.94,-108.48,0.0,top
C65,101.595,-104.71,90.0,top
C66,106.645,-109.34,0.0,top
C67,104.435,-109.2,180.0,top
C68,104.445,-108.47,180.0,top
C69,100.505,-108.04,270.0,top
C7,115.51,-97.42,0.0,bottom
C70,105.47,-111.87,0.0,top
C71,112.91,-117.26,270.0,top
C72,103.345,-112.420343,180.0,top
C73,103.345,-118.450343,180.0,top
C74,116.415,-119.595,270.0,top
C75,115.72,-119.59,270.0,top
C8,116.27,-92.06,0.0,bottom
C9,115.93,-90.07,270.0,bottom
D1,99.09,-113.22,270.0,top
H1,165.56,-124.47,0.0,top
H2,177.5,-79.34,0.0,top
H3,102.5,-79.38,0.0,top
J1,168.86,-97.49,90.0,top
J2,148.49,-122.38,270.0,top
J3,160.03,-81.14,0.0,top
J4,140.96,-77.43,90.0,top
J5,131.78,-120.5,90.0,top
J6,118.45,-124.915,0.0,top
J7,178.13,-122.1,90.0,top
J8,178.13,-111.499168,90.0,top
J9,107.85,-124.910833,0.0,top
L1,116.24,-107.33,270.0,top
L2,110.62,-82.13,270.0,top
L3,140.56,-85.06,270.0,top
L4,161.65,-117.35,270.0,top
L5,103.195,-106.76,180.0,top
L6,101.935,-115.440343,270.0,top
Q1,112.596165,-102.901564,180.0,top
Q2,103.1,-111.64,90.0,bottom
R1,116.29,-88.545,135.0,bottom
R11,164.02,-114.66,180.0,top
R12,114.199624,-103.805023,180.0,top
R13,140.72,-98.68,180.0,bottom
R14,132.93,-100.08,0.0,bottom
R15,141.07,-99.725,270.0,bottom
R16,109.6,-108.13,270.0,top
R17,108.83,-109.18,180.0,top
R18,108.66,-118.672843,315.0,top
R19,107.44,-110.815,90.0,top
R2,113.83,-90.695,90.0,bottom
R20,108.14,-110.822843,90.0,top
R21,105.46,-111.04,0.0,top
R22,111.51,-117.25125,270.0,top
R23,109.65,-116.04,90.0,top
R24,112.21,-117.25625,270.0,top
R25,109.65,-114.24,270.0,top
R26,106.74,-110.81,270.0,top
R27,122.36,-106.5,135.0,top
R28,102.605,-113.130343,180.0,top
R29,102.595,-117.740343,180.0,top
R3,113.825,-89.3,90.0,bottom
R30,142.01,-87.89,180.0,top
R31,142.32,-80.85,90.0,top
R32,113.7,-78.41,270.0,top
R33,116.335,-102.23,180.0,top
R34,99.09,-111.135,90.0,top
R35,143.09,-83.42,90.0,top
R36,101.53,-125.45,270.0,top
R37,100.83,-125.45,270.0,top
R38,112.68,-81.54,0.0,top
R39,113.75,-81.19,90.0,top
R4,117.95,-105.0,90.0,top
R40,112.95,-79.99,180.0,top
R41,164.02,-116.78,0.0,top
R5,117.95,-103.6,90.0,top
R6,164.37,-115.72,90.0,top
R8,142.74,-84.49,0.0,top
R9,142.76,-82.36,180.0,top
TP1,154.11,-93.41,180.0,bottom
TP10,160.91,-122.53,180.0,bottom
TP11,134.23,-105.06,180.0,bottom
TP2,149.34,-93.42,180.0,bottom
TP3,120.39,-105.84,180.0,bottom
TP4,113.86,-82.1,180.0,bottom
TP5,143.99,-84.85,180.0,bottom
TP6,160.91,-119.6,180.0,bottom
TP7,100.35,-107.22,180.0,bottom
TP8,107.63,-108.25,180.0,bottom
TP9,105.73,-119.17,180.0,bottom
U1,118.32,-90.855,180.0,top
U10,111.855,-114.01625,90.0,top
U2,135.84,-96.15,90.0,top
U3,150.665,-109.89,90.0,top
U4,107.205,-106.915,180.0,top
U5,105.75,-115.48,90.0,top
U6,116.084624,-104.125023,0.0,top
U7,110.605,-78.7325,0.0,top
U8,140.56,-81.72,0.0,top
U9,161.638826,-113.919435,0.0,top
Y1,137.69025,-105.84475,0.0,top
